ID,HashTags,TweetText,Output,mentions_other,URLs,User
260,,27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),Alabama;,,DawnShmawn
261,,"please take two minutes to read this, it’s incredibly important and pertinent to what’s happening in several states. the weight of the legislation that’s being passed needs to be realized. #RoeVWade ","please take two minutes to read this, it’s incredibly important and pertinent to what’s happening in several states. the weight of the legislation that’s being passed needs to be realized. #RoeVWade ",;;,,dawndziuba
262,,@ewarren My grandson's Great Grandmother bleed out on a bathroom floor trying to keep a child from being sexually and physically abused by a man who wad already abusing their other 3. #RoeVWade #WarOnWomen #WomensRightsAreHumanRights,@ewarren My grandson's Great Grandmother bleed out on a bathroom floor trying to keep a child from being sexually and physically abused by a man who wad already abusing their other 3. #RoeVWade #WarOnWomen #WomensRightsAreHumanRights,;,https://twitter.com/i/web/status/1128733136333021184,kentuckygrandma
263,,Alabama’s abortion ban is a cruel and blatant attack on women—and it is part of a larger effort by extreme politicians to roll back #RoevWade. I’m going to fight these attacks every step of the way and I know women and men across the country are too.,Alabama’s abortion ban is a cruel and blatant attack on women—and it is part of a larger effort by extreme politicians to roll back #RoevWade. I’m going to fight these attacks every step of the way and I know women and men across the country are too.,"Alabama,Abortion;",,mikaasana
264,,"The only way to STOP the dystopian future horror show from happening is to VOTE BLUE in EVERY ELECTION, small or large, even when the candidate wasn't your 1st, 2nd or 3rd choice. 

#AlabamaAbortionBan #AbortionRights #RoeVWade #AlabamaSenate #WomensRightsAreHumanRights ","The only way to STOP the dystopian future horror show from happening is to VOTE BLUE in EVERY ELECTION, small or large, even when the candidate wasn't your 1st, 2nd or 3rd choice. 

#AlabamaAbortionBan #AbortionRights #RoeVWade #AlabamaSenate #WomensRightsAreHumanRights ",;,,joesgarage101
265,,"Joe Scarborough saying that young Democrats are pro life is complete and otter BS and misleading 100% lying to his audience. We have 3 kids all with partners making it 6 under 30 and not one wavers on their position about pro choice 
#RoeVWade #MorningJoe","Joe Scarborough saying that young Democrats are pro life is complete and otter BS and misleading 100% lying to his audience. We have 3 kids all with partners making it 6 under 30 and not one wavers on their position about pro choice 
#RoeVWade #MorningJoe","Joe Scarborough,Democrats;;",,STabbytosavit
266,,"Roe v. Wade was decided before the ultrasound and before many medical and scientific advancements.

Today, we know human life begins at fertilization.

In reality, #RoevWade is regressive and outdated law. ","Roe v. Wade was decided before the ultrasound and before many medical and scientific advancements.

Today, we know human life begins at fertilization.

In reality, #RoevWade is regressive and outdated law. ",Roe v. Wade;;,,LeadRight20
267,,"My wife and I created a Netflix show (out in 2020) that was going to shoot in Georgia. We decided to move production to Vancouver. I feel bad for the Georgia residents who lost out on work, but we morally couldn’t give money to such a horribly run state. #RoeVWade ","My wife and I created a Netflix show (out in 2020) that was going to shoot in Georgia. We decided to move production to Vancouver. I feel bad for the Georgia residents who lost out on work, but we morally couldn’t give money to such a horribly run state. #RoeVWade ","Netflix,Georgia;Vancouver;Georgia;",,AndreCecire
268,,"""If Conservatives had the same passion for migrant children, shooting victims, sick toddlers, young black men, Muslim families, LGBTQ teens, the environment, and women's autonomy that they have for embryos—they'd actually be pro-life.""

#Alabama
#RoeVWade ","""If Conservatives had the same passion for migrant children, shooting victims, sick toddlers, young black men, Muslim families, LGBTQ teens, the environment, and women's autonomy that they have for embryos—they'd actually be pro-life.""

#Alabama
#RoeVWade ","Conservatives,Muslim,LGBTQ;",,MaryIvankovich
269,,Exactly. And Georgia rapists and Ohio rapists.  And every rapist in every state is waiting in anticipation,Exactly. And Georgia rapists and Ohio rapists.  And every rapist in every state is waiting in anticipation,";Georgia,Ohio;",,AbvlorLaura
270,WednesdayWisdom,"Safe Fast Trial is easy and great for all parties! But how does it work?... 

#WednesdayWisdom #RoeVWade #AlabamaSenate #WednesdayMotivation #WomensRightsAreHumanRights","Safe Fast Trial is easy and great for all parties! But how does it work?... 

#WednesdayWisdom #RoeVWade #AlabamaSenate #WednesdayMotivation #WomensRightsAreHumanRights",;;,https://www.youtube.com/watch?v=t-EbYnVLmKc&feature=youtu.be,insalrobo10
271,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,,anglunaaa
272,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,julieorth2
273,,27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),Alabama;,,cant_tweet87
274,,"Alabama rapists thank the state GOP for finally giving every one of them the option to pick the mother of their next child.   
#RoevWade","Alabama rapists thank the state GOP for finally giving every one of them the option to pick the mother of their next child.   
#RoevWade","Alabama,GOP;",,CNMcPhee
275,,"Basic health care includes safe, legal abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Basic health care includes safe, legal abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Alabama,America;;;",,its_payt
276,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,buster_cupcake
277,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,madcosta
278,,America is where the Planned Parenthood shooter was too insane to stand trial for murder but not too insane to legally buy semi automatics.  #RoeVWade,America is where the Planned Parenthood shooter was too insane to stand trial for murder but not too insane to legally buy semi automatics.  #RoeVWade,"America,Planned Parenthood;",,octavia324
279,"fiverr, AlabamaAbortionBan","Are you looking for convert PSD to HTML? Contact me at any time on #fiverr
Jets Gase #AlabamaAbortionBan #WednesdayWisdom Black Mirror #RoeVWade Morty 
","Are you looking for convert PSD to HTML? Contact me at any time on #fiverr
Jets Gase #AlabamaAbortionBan #WednesdayWisdom Black Mirror #RoeVWade Morty 
","PSD,HTML;;Jets Gase,Black Mirror,Morty",https://twitter.com/i/web/status/1128733154217320448,shafiqhammad7
280,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,katemcclelland7
281,RoevWade,I can’t believe we’re still debating #RoevWade in 2019. WTAF,I can’t believe we’re still debating #RoevWade in 2019. WTAF,;,,Jason_House
282,,"Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right, &amp; above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ","Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right, &amp; above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ",Alabama;Aboriton;,,andvamom2
283,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,wchardin15
284,,"Vitter promoted materials that claimed ""the pill kills"" - specifically, it said that taking birth control pills made you more likely to die a violent death. 

Good judgment is a pretty basic qualification for a judge. Vitter doesn't have it. #UnfittoJudge #courtsmatter ","Vitter promoted materials that claimed ""the pill kills"" - specifically, it said that taking birth control pills made you more likely to die a violent death. 

Good judgment is a pretty basic qualification for a judge. Vitter doesn't have it. #UnfittoJudge #courtsmatter ",VItter;,,LivinNTrumpHell
285,,"Doctor with a uterus, here. Since when has an all-female panel voted on men’s access to erectile dysfunction meds⁉️

Since NEVER.🙄

The same should go for an all-male panel voting on women’s reproductive rights‼️

#RoeVWade ","Doctor with a uterus, here. Since when has an all-female panel voted on men’s access to erectile dysfunction meds⁉️

Since NEVER.🙄

The same should go for an all-male panel voting on women’s reproductive rights‼️

#RoeVWade ",uterus;;;,,bob_levitt
286,,"Doctor with a uterus, here. Since when has an all-female panel voted on men’s access to erectile dysfunction meds⁉️

Since NEVER.🙄

The same should go for an all-male panel voting on women’s reproductive rights‼️

#RoeVWade ","Doctor with a uterus, here. Since when has an all-female panel voted on men’s access to erectile dysfunction meds⁉️

Since NEVER.🙄

The same should go for an all-male panel voting on women’s reproductive rights‼️

#RoeVWade ",uterus;;;,,AishiaDeal
287,,Don’t look away from who is trying to turn back the clock on our basic human rights. Women are coming for these seats.  #Alabama #RoevWade,Don’t look away from who is trying to turn back the clock on our basic human rights. Women are coming for these seats.  #Alabama #RoevWade,;;,,kylinmichelle
288,,Alabama’s abortion ban is a cruel and blatant attack on women—and it is part of a larger effort by extreme politicians to roll back #RoevWade. I’m going to fight these attacks every step of the way and I know women and men across the country are too.,Alabama’s abortion ban is a cruel and blatant attack on women—and it is part of a larger effort by extreme politicians to roll back #RoevWade. I’m going to fight these attacks every step of the way and I know women and men across the country are too.,Alabama;,,jjstageface
289,,"Basic health care includes safe, legal Abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Basic health care includes safe, legal Abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Abortion;Abortion,America;;",,anglunaaa
290,AlabamaAbortionBan,"#AlabamaAbortionBan is not yet in effect as of 51 minute ago. You still have time to call @GovernorKayIvey and let your thoughts be known.

Let her know it is up to her to stop the #AmericanTaliban.

Call 334.242.7100. #OccupyDC starts at home. 

PLEASE share now! ","#AlabamaAbortionBan is not yet in effect as of 51 minute ago. You still have time to call @GovernorKayIvey and let your thoughts be known.

Let her know it is up to her to stop the #AmericanTaliban.

Call 334.242.7100. #OccupyDC starts at home. 

PLEASE share now! ",;;;;,,Tondalaoz
291,,"Basic health care includes safe, legal Abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Basic health care includes safe, legal Abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Abortion;Alabama,America;;",,tabate252
292,,"Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right, &amp; above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ","Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right, &amp; above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ",Alabama;Abortion;,,mightymykey1
293,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,snarkledark
294,,"45 people and their 87,000 bots with cartoon character profile images and less than 20 followers are out debating #RoeVWade today on Twitter.","45 people and their 87,000 bots with cartoon character profile images and less than 20 followers are out debating #RoeVWade today on Twitter.",Twitter,,RyanWrecker
295,,27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),Alabama;,,FancyFaceSCH
296,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,Krickette01
297,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,,nfrancescutto
298,,"GP ""If you deny climate science is real, stop telling us you care about Frosted Flakes."" &lt;= equally coherent statement","GP ""If you deny climate science is real, stop telling us you care about Frosted Flakes."" &lt;= equally coherent statement",Frosted Flakes,https://twitter.com/i/web/status/1128733194294054915,Gormogons
299,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,SoniHorta
300,abortion,"@NARAL  posts defenses of #abortion like this, then deletes it...

Murder for convenience... Absolute ghouls.

#RoeVWade #StateSanctionedMurder ","@NARAL  posts defenses of #abortion like this, then deletes it...

Murder for convenience... Absolute ghouls.

#RoeVWade #StateSanctionedMurder ",;;;,https://twitter.com/i/web/status/1128733195149676545,mattatat138
301,,27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),Alabama;,,144tzer
302,,"Alabama GOP is: 
SO MORAL
SO PRO LIFE
SO ANTI-BIG GOVERNMENT
SO CHRISTIAN
...they just voted to let the state force rape victims to carry their rapists' children.
#roevwade","Alabama GOP is: 
SO MORAL
SO PRO LIFE
SO ANTI-BIG GOVERNMENT
SO CHRISTIAN
...they just voted to let the state force rape victims to carry their rapists' children.
#roevwade","Alabama,GOP;;;;;;",,benponymt
303,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,SueAC185
304,,America is where the Planned Parenthood shooter was too insane to stand trial for murder but not too insane to legally buy semi automatics.  #RoeVWade,America is where the Planned Parenthood shooter was too insane to stand trial for murder but not too insane to legally buy semi automatics.  #RoeVWade,"America,Planned Parenthood;",,vibraniumiphone
305,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,,ericboberic
306,,27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),Alabama;,,sandytoze
307,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,,ninasophia81
308,,"Basic health care includes safe, legal Abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Basic health care includes safe, legal Abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Abortion;Alabama,America;;",,FancyFaceSCH
309,,"Doctor with a uterus, here. Since when has an all-female panel voted on men’s access to erectile dysfunction meds⁉️

Since NEVER.🙄

The same should go for an all-male panel voting on women’s reproductive rights‼️

#RoeVWade ","Doctor with a uterus, here. Since when has an all-female panel voted on men’s access to erectile dysfunction meds⁉️

Since NEVER.🙄

The same should go for an all-male panel voting on women’s reproductive rights‼️

#RoeVWade ",uterus;;;,,jsub199
310,RoeVWade,"Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan","Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan",Republican Party;,,__D__U__D__E__
311,"Alabama, MenWhoHate, RoeVWade",These men just voted to kill women #Alabama #MenWhoHate #RoeVWade,These men just voted to kill women #Alabama #MenWhoHate #RoeVWade,,,spicy_physics
312,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,PeterStechow
313,RoeVWade,"The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ","The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ",;;;;,,AishiaDeal
314,AlabamaAbortionBan,Check out my latest piece about the #AlabamaAbortionBan that explains the GOP strategy behind this law and the recent Heartbeat Bills. #RoeVWade #BoycottAlabama #WomensRightsAreHumanRights,Check out my latest piece about the #AlabamaAbortionBan that explains the GOP strategy behind this law and the recent Heartbeat Bills. #RoeVWade #BoycottAlabama #WomensRightsAreHumanRights,"GOP,Heartbeat Bills;",,cwalshCURO
315,RoeVWade,"The Supreme Court said in #RoeVWade that every American woman's right to privacy—their right to choose—is ""fundamental."" It is a civil right.

Taking away that freedom—as the #AlabamaAbortionBan does—is not only illegal, it is an attempt to drag us backwards. #WeWontGoBack","The Supreme Court said in #RoeVWade that every American woman's right to privacy—their right to choose—is ""fundamental."" It is a civil right.

Taking away that freedom—as the #AlabamaAbortionBan does—is not only illegal, it is an attempt to drag us backwards. #WeWontGoBack",Supreme Court;;;,,helloluvah
316,,"Make no mistake about it, Alabama GOPers are giving rapists more protection than the victims of rape and want to take us back to the days of back-alley Abortion. This is just another assault against #RoeVWade.","Make no mistake about it, Alabama GOPers are giving rapists more protection than the victims of rape and want to take us back to the days of back-alley Abortion. This is just another assault against #RoeVWade.","Alabama GOPers,Abortion;",,luvcorgis
317,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,,cherylc1159
318,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,DougSturgeon1
319,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,Darqseyd
320,,"Alabama rapists thank the state GOP for finally giving every one of them the option to pick the mother of their next child.   
#RoevWade","Alabama rapists thank the state GOP for finally giving every one of them the option to pick the mother of their next child.   
#RoevWade","Alabama,GOP;",,bobbiesean
321,,"The Alabama abortion law shows us exactly what trump meant when he said ""make America great AGAIN...""

He wants to take us back to the years of back-alley Abortion, when Women had NO SAY in their own bodies. 

Alabama is not an anomaly; it's a BLATANT assault on #RoeVWade.","The Alabama abortion law shows us exactly what trump meant when he said ""make America great AGAIN...""

He wants to take us back to the years of back-alley Abortion, when Women had NO SAY in their own bodies. 

Alabama is not an anomaly; it's a BLATANT assault on #RoeVWade.","Alabama,America,Abortion;Alabama",,ariakumar
322,,Don’t look away from who is trying to turn back the clock on our basic human rights. Women are coming for these seats.  #Alabama #RoevWade,Don’t look away from who is trying to turn back the clock on our basic human rights. Women are coming for these seats.  #Alabama #RoevWade,;;,,JudyHarris15
323,,27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),Alabama;,,jeffsmith96162
324,,"Alabama rapists thank the state GOP for finally giving every one of them the option to pick the mother of their next child.   
#RoevWade","Alabama rapists thank the state GOP for finally giving every one of them the option to pick the mother of their next child.   
#RoevWade","Alabama,GOP;",,TXCenterLefty
325,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,alphabreed2018
326,,"Rape, incest, and a threat to the life of the mother account for less than 1% of abortions annually. ","Rape, incest, and a threat to the life of the mother account for less than 1% of abortions annually. ",,,VickiGillespi10
327,"fiverr, AlabamaAbortionBan","@TheSun Are you looking for convert PSD to HTML? Contact me at any time on #fiverr
Jets Gase #AlabamaAbortionBan #WednesdayWisdom Black Mirror #RoeVWade Morty 
","@TheSun Are you looking for convert PSD to HTML? Contact me at any time on #fiverr
Jets Gase #AlabamaAbortionBan #WednesdayWisdom Black Mirror #RoeVWade Morty 
","PSD,HTML;Jets Gase,Black Mirror,Morty",https://twitter.com/i/web/status/1128733242197020672,shafiqhammad7
328,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,ChrisPDX11
329,,"Thank you. It's too bad that the very same liberal squalling about the ""war on women's bodies"" didn't think twice about voting for this monstrosity alongside the very same anti-choice Republicans. ","Thank you. It's too bad that the very same liberal squalling about the ""war on women's bodies"" didn't think twice about voting for this monstrosity alongside the very same anti-choice Republicans. ",;Republicans,,timmins316
330,,"Basic health care includes safe, legal Abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Basic health care includes safe, legal Abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Abortion;Alabama,America;;",,faith_jvs
331,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,patriototheend
332,,27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),Alabama;,,TheAntPorter
333,,America is where the Planned Parenthood shooter was too insane to stand trial for murder but not too insane to legally buy semi automatics.  #RoeVWade,America is where the Planned Parenthood shooter was too insane to stand trial for murder but not too insane to legally buy semi automatics.  #RoeVWade,"America,Planned Parenthood;",,dlaquarabbit
334,,"The Alabama abortion law shows us exactly what trump meant when he said ""make America great AGAIN...""

He wants to take us back to the years of back-alley Abortion, when Women had NO SAY in their own bodies. 

Alabama is not an anomaly; it's a BLATANT assault on #RoeVWade.","The Alabama abortion law shows us exactly what trump meant when he said ""make America great AGAIN...""

He wants to take us back to the years of back-alley Abortion, when Women had NO SAY in their own bodies. 

Alabama is not an anomaly; it's a BLATANT assault on #RoeVWade.","Alabama,America;Abortion;Alabama",,1feralkat
335,,"45 people and their 87,000 bots with cartoon character profile images and less than 20 followers are out debating #RoeVWade today on Twitter.","45 people and their 87,000 bots with cartoon character profile images and less than 20 followers are out debating #RoeVWade today on Twitter.",Twitter,,SuperElitee
336,"AlabamaAbortionBan, RoevWade",The #AlabamaAbortionBan has the pro-abortion crowd running scared because they know the days of #RoevWade are numbered! We will abolish Abortion!,The #AlabamaAbortionBan has the pro-abortion crowd running scared because they know the days of #RoevWade are numbered! We will abolish Abortion!,;Abortion,,Its_nickster2k
337,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,janewm66
338,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,PearceDarin
339,RoeVWade,"The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ","The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ",;;;;,,deborahcrooks
340,,"Rape, incest, and a threat to the life of the mother account for less than 1% of abortions annually. ","Rape, incest, and a threat to the life of the mother account for less than 1% of abortions annually. ",,,canadelicious
